Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected
0,340461476,1000,8759,0,0,8759,8983,0,0,612400,306200,2919,0,0,0,0,0,948,293,0,19487.5,1,0,0,0,0,0,0,0,2919,0,0,0,0,0,0,0,0
1,340461476,1000,7645,0,0,7645,8170,0,19548,542200,271100,2573,0,0,0,0,0,860,254,0,9159.76,0.0318215,0,0,0,7645,0,0,0,2573,0,0,0,0,0,0,0,0
2,340461476,1000,6714,0,0,6714,7395,0,26793,482000,241000,2292,0,0,0,0,0,680,251,0,10802.8,0.0168937,0,0,0,6714,0,0,0,2292,0,0,0,0,0,0,0,0
3,340461476,1000,5849,0,0,5849,6636,0,35123,416000,208000,1954,0,0,0,0,0,660,205,0,11040.6,0.0224125,0,0,0,5849,0,0,0,1954,0,0,0,0,0,0,0,0
4,340461476,1000,5109,0,0,5109,6032,0,42832,368800,184400,1767,0,0,0,0,0,573,167,0,11590.7,0.0265399,0,0,0,5109,0,0,0,1767,0,0,0,0,0,0,0,0
5,340461476,1000,4486,0,0,4486,5478,0,50437,315800,157900,1504,0,0,0,0,0,484,139,0,11947.1,0.0314281,0,0,0,4486,0,0,0,1504,0,0,0,0,0,0,0,0
6,340461476,1000,3962,0,0,3962,4935,0,57608,282200,141100,1330,0,0,0,0,0,401,123,0,12450.7,0.0378314,0,0,0,3962,0,0,0,1330,0,0,0,0,0,0,0,0
7,340461476,1000,3452,0,0,3452,4478,0,64467,246000,123000,1166,0,0,0,0,0,383,127,0,12989.8,0.0441202,0,0,0,3452,0,0,0,1166,0,0,0,0,0,0,0,0
8,340461476,1000,3010,0,0,3010,4058,0,71274,217600,108800,1028,0,0,0,0,0,343,99,0,13314.2,0.0528039,0,0,0,3010,0,0,0,1028,0,0,0,0,0,0,0,0
9,340461476,1000,2628,0,0,2628,3680,0,77739,186200,93100,880,0,0,0,0,0,297,85,0,13723.7,0.0611867,0,0,0,2628,0,0,0,880,0,0,0,0,0,0,0,0
10,340461476,1000,2304,0,0,2304,3331,0,84219,157000,78500,743,0,0,0,0,0,253,71,0,13870.5,0.0737042,0,0,0,2304,0,0,0,743,0,0,0,0,0,0,0,0
11,340461476,1000,2013,0,0,2013,3051,0,89797,151600,75800,731,0,0,0,0,0,207,84,0,14680.5,0.0883472,0,0,0,2013,0,0,0,731,0,0,0,0,0,0,0,0
12,340461476,1000,1767,0,0,1767,2792,0,95831,126400,63200,596,0,0,0,0,0,191,55,0,14804.3,0.0968371,0,0,0,1767,0,0,0,596,0,0,0,0,0,0,0,0
13,340461476,1000,1565,0,0,1565,2536,0,101441,104800,52400,498,0,0,0,0,0,153,49,0,15130.3,0.117123,0,0,0,1565,0,0,0,498,0,0,0,0,0,0,0,0
14,340461476,1000,1349,0,0,1349,2295,0,106689,101800,50900,483,0,0,0,0,0,154,62,0,15604.3,0.144373,0,0,0,1349,0,0,0,483,0,0,0,0,0,0,0,0
15,340461476,1000,1174,0,0,1174,2090,0,112445,85600,42800,409,0,0,0,0,0,135,40,0,15364.1,0.153284,0,0,0,1174,0,0,0,409,0,0,0,0,0,0,0,0
16,340461476,1000,1029,0,0,1029,1891,0,116889,70000,35000,329,0,0,0,0,0,113,32,0,16237.2,0.179488,0,0,0,1029,0,0,0,329,0,0,0,0,0,0,0,0
17,340461476,1000,912,0,0,912,1688,0,121939,67800,33900,317,0,0,0,0,0,89,28,0,16312.7,0.23196,0,0,0,912,0,0,0,317,0,0,0,0,0,0,0,0
18,340461476,1000,789,0,0,789,1529,0,126651,57400,28700,272,0,0,0,0,0,89,34,0,16541.5,0.240601,0,0,0,789,0,0,0,272,0,0,0,0,0,0,0,0
19,340461476,1000,700,0,0,700,1372,0,131047,47600,23800,229,0,0,0,0,0,69,20,0,16908.3,0.28818,0,0,0,700,0,0,0,229,0,0,0,0,0,0,0,0
20,340461476,1000,608,0,0,608,1253,0,135389,44200,22100,212,0,0,0,0,0,75,17,0,17157.5,0.355217,0,0,0,608,0,0,0,212,0,0,0,0,0,0,0,0
21,340461476,1000,525,0,0,525,1157,0,139403,37200,18600,179,0,0,0,0,0,63,20,0,17569.2,0.388178,0,0,0,525,0,0,0,179,0,0,0,0,0,0,0,0
22,340461476,1000,472,0,0,472,1058,0,143812,33200,16600,155,0,0,0,0,0,38,15,0,17426.5,0.47229,0,0,0,472,0,0,0,155,0,0,0,0,0,0,0,0
23,340461476,1000,427,0,0,427,976,2082,145645,31000,15500,148,0,0,0,0,0,36,9,0,19706,0.524893,0,0,0,427,0,0,0,148,0,0,0,0,0,0,0,0
24,340461476,1000,370,0,0,370,881,2899,150600,25400,12700,121,0,0,0,0,0,41,16,0,18715.3,0.635676,0,0,0,370,0,0,0,121,0,0,0,0,0,0,0,0
25,340461476,1000,330,0,0,330,797,3920,153595,22400,11200,107,0,0,0,0,0,30,10,0,19541.8,0.736823,0,0,0,330,0,0,0,107,0,0,0,0,0,0,0,0
26,340461476,1000,292,0,0,292,727,4779,157462,22200,11100,108,0,0,0,0,0,31,7,0,19358.6,0.872401,0,0,0,292,0,0,0,108,0,0,0,0,0,0,0,0
27,340461476,1000,970,0,0,970,1352,4191,160708,17400,8700,79,0,0,0,720,0,32,10,0,19663.6,0.872007,0,0,0,970,0,0,0,79,0,0,0,0,0,0,0,0
28,340461476,1000,1103,0,0,1103,1584,4441,161577,16400,8200,667,0,0,0,313,0,111,69,0,22217.7,1,0,0,0,1103,0,0,0,667,0,0,0,0,0,0,0,0
29,340461476,1000,1386,0,0,1386,1840,4549,161016,14800,7400,332,0,0,0,435,0,113,39,0,26078.5,1,0,0,0,1386,0,0,0,332,0,0,0,0,0,0,0,0
30,340461476,1000,1602,0,0,1602,2105,4729,159161,10800,5400,416,0,0,0,403,0,154,33,0,31114.3,1,0,0,0,1602,0,0,0,416,0,0,0,0,0,0,0,0
31,340461476,1000,1810,0,0,1810,2328,4904,153402,93000,46500,791,0,0,0,435,0,158,69,0,39939.5,1,0,0,0,1810,0,0,0,791,0,0,0,0,0,0,0,0
32,340461476,1000,2027,0,0,2027,2542,5131,176944,47200,23600,610,0,0,0,455,0,181,57,0,19353.3,0.429457,0,0,0,2027,0,0,0,610,0,0,0,0,0,0,0,0
33,340461476,1000,2221,0,0,2221,2780,5235,178123,59400,29700,671,0,0,0,470,0,208,68,0,21023.5,0.410026,0,0,0,2221,0,0,0,671,0,0,0,0,0,0,0,0
34,340461476,1000,2421,0,0,2421,2966,5421,180756,109800,54900,925,0,0,0,498,0,213,85,0,21137,0.353931,0,0,0,2421,0,0,0,925,0,0,0,0,0,0,0,0
35,340461476,1000,2578,0,0,2578,3217,5544,183113,85000,42500,851,0,0,0,462,0,218,87,0,21427.6,0.192505,0,0,0,2578,0,0,0,851,0,0,0,0,0,0,0,0
36,340461476,1000,2739,0,0,2739,3457,5635,185379,92600,46300,834,0,0,0,510,0,245,104,0,21713.8,0.25209,0,0,0,2739,0,0,0,834,0,0,0,0,0,0,0,0
37,340461476,1000,2900,0,0,2900,3648,5830,187400,135800,67900,1079,0,0,0,504,0,223,120,0,22153.1,0.234491,0,0,0,2900,0,0,0,1079,0,0,0,0,0,0,0,0
38,340461476,1000,3058,0,0,3058,3909,5848,190177,119800,59900,1013,0,0,0,541,0,274,109,0,21747.7,0.16313,0,0,0,3058,0,0,0,1013,0,0,0,0,0,0,0,0
